2020/3/8,北海道,97
2020/3/8,宮城県,1
2020/3/8,秋田県,1
2020/3/8,福島県,1
2020/3/8,栃木県,2
2020/3/8,埼玉県,4
2020/3/8,群馬県,1
2020/3/8,千葉県,20
2020/3/8,東京都,60
2020/3/8,神奈川県,34
2020/3/8,新潟県,6
2020/3/8,石川県,4
2020/3/8,山梨県,2
2020/3/8,長野県,2
2020/3/8,岐阜県,2
2020/3/8,静岡県,1
2020/3/8,愛知県,68
2020/3/8,三重県,1
2020/3/8,滋賀県,1
2020/3/8,京都府,8
2020/3/8,大阪府,33
2020/3/8,兵庫県,9
2020/3/8,奈良県,2
2020/3/8,和歌山県,12
2020/3/8,広島県,1
2020/3/8,山口県,1
2020/3/8,愛媛県,1
2020/3/8,高知県,9
2020/3/8,福岡県,3
2020/3/8,熊本県,5
2020/3/8,大分県,1
2020/3/8,宮崎県,1
2020/3/8,沖縄県,3
